gain,value
"What is the course number? (e.g. 200, 371, 599.2 etc.)",0.8904916402194913
Who was the professor? ,0.8904916402194913
Was the course content well organized? ,0.8904916402194913
Were the support materials helpful?,0.8904916402194913
Do you feel that the course related material/notes/resources provided by the professor were adequate? ,0.6785772169761476
Was the course easier or harder than you had expected? ,0.6408676019243735
Were students treated respectfully?,0.5718986055982381
Did you learn a lot in the course?,0.5297257989969673
What grade do you expect to receive/have received in the course? ,0.5247310631299937
Was there enough detail in the course outline?,0.5247310631299937
What is your major? ,0.46666279373280384
What course level was it? ,0.46666279373280384
What is the course program for the course you providing feedback on under? ,0.45898083449358273
Was the course consistent with the outline?,0.43663513792025094
Were the evaluation methods fair?,0.43663513792025094
What days of the week was the course scheduled? ,0.4289531786810298
Were there ample opportunities for assistance? ,0.3912435636292557
Was the material communicated with enthusiasm?,0.378566868523061
When was the class scheduled? ,0.3599841823548944
Were the students' questions responded to? ,0.3051346806474289
What is your faculty? ,0.2547483704894601
What Year of Study are you currently in?,0.23938445201101788
"Was the work graded in a reasonable time frame?
",0.21703875543768603
Did your professor offer regular office hours? ,0.18254790807563637
How many hours per day do you spend participating in studying or working on projects/assignments? ,0.17932914038591197
Was the course mandatory for your program? ,0.11036014405977657
How often did you attend the tutorials/labs? ,0.10090221664330623
How many courses did you take this semester? ,0.09322025740408513
How old are you?,0.09031753632664197
What age did you start university? ,0.09031753632664197
What is your GPA? ,0.05551064235231107
What semester was the course taken in? ,0.04283394724611633
Do you have a family member or close friend attending any classes the same time as you? ,0.025482986539758112
Was there a tutorial/lab? ,0.025482986539758112
What is your gender? ,0.01780102730053701
How often did you attend the lectures? ,0.01780102730053701
Did you ever have conflicting deadlines with another class? ,0.01780102730053701
What was the class size? ,0.005124332194342274
Are you an international student? ,0.0019055645046179848
Are you working part-time? ,0.0019055645046179848
Have you ever attended your professor’s office hours? ,0.0019055645046179848
Have you required an extension for assignment/project deadlines? ,0.0006611406448454593
Please choose number 3 so that we know you are reading the survey. ,0.0
How many units is the course worth? ,0.0
Please choose number 15 so that we know you are reading the survey. ,0.0
Have you done this course prior to this semester? ,0.0
